zpid,price,bedrooms,bathrooms,livingArea,lotAreaValue,yearBuilt,homeType,latitude,longitude,city,zipcode,zestimate,rentZestimate,daysOnZillow,has_zestimate,has_rent_zestimate
342794641,1595000,6.0,6.0,5300.0,10.0,1973.0,SINGLE_FAMILY,29.51677,-95.61752,Richmond,77469,1450400.0,9535.0,96,1,1
2056167381,332990,4.0,2.0,1922.0,6050.484,2024.0,SINGLE_FAMILY,29.4884,-95.7667,Richmond,77469,325700.0,2250.0,17,1,1
2063372864,424990,4.0,3.0,2769.0,7758.036,2022.0,SINGLE_FAMILY,29.518398,-95.74105,Richmond,77469,412600.0,2749.0,33,1,1
27619964,1600000,4.0,4.0,6381.0,2.9866,1920.0,SINGLE_FAMILY,29.578243,-95.75729,Richmond,77469,1429600.0,7963.0,343,1,1
350330849,305000,3.0,2.0,1801.0,6050.484,2023.0,SINGLE_FAMILY,29.488487,-95.7664,Richmond,77469,298600.0,2100.0,17,1,1
2054170809,422990,5.0,4.0,2991.0,6050.484,2024.0,SINGLE_FAMILY,29.556465,-95.76387,Richmond,77469,417600.0,2974.0,10,1,1
2055958747,373990,4.0,3.0,2428.0,6050.484,2024.0,SINGLE_FAMILY,29.493887,-95.77486,Richmond,77469,366300.0,2500.0,37,1,1
2059550239,672000,5.0,4.0,3120.0,10424.0,2023.0,SINGLE_FAMILY,29.570124,-95.73269,Richmond,77469,649900.0,3983.0,81,1,1
2055958742,361990,3.0,2.0,2101.0,6050.484,2024.0,SINGLE_FAMILY,29.493887,-95.77486,Richmond,77469,356700.0,2199.0,17,1,1
349959427,436990,4.0,4.0,2795.0,6050.484,2024.0,SINGLE_FAMILY,29.5153,-95.7363,Rosenberg,77469,425900.0,2700.0,21,1,1
2056167379,336990,3.0,2.0,2086.0,6050.484,2024.0,SINGLE_FAMILY,29.4884,-95.7667,Richmond,77469,327200.0,2234.0,42,1,1
2058004798,412000,4.0,3.0,2172.0,7699.0,2023.0,SINGLE_FAMILY,29.51326,-95.72877,Richmond,77469,401700.0,2700.0,42,1,1
347096726,328990,4.0,2.0,2031.0,6050.484,2024.0,SINGLE_FAMILY,29.52839,-95.76655,Rosenberg,77469,325100.0,2350.0,26,1,1
349959421,404990,3.0,3.0,2386.0,6050.484,2024.0,SINGLE_FAMILY,29.5153,-95.7363,Rosenberg,77469,394900.0,2500.0,21,1,1
2054102308,339290,3.0,2.0,1831.0,6050.484,2024.0,SINGLE_FAMILY,29.555475,-95.76055,Richmond,77469,327700.0,2175.0,182,1,1
350774931,395990,4.0,3.0,2452.0,6050.484,2024.0,SINGLE_FAMILY,29.506746,-95.76597,Rosenberg,77469,388000.0,2500.0,12,1,1
349480177,319990,3.0,2.0,1595.0,6050.484,2024.0,SINGLE_FAMILY,29.506746,-95.76597,Rosenberg,77469,314000.0,1999.0,12,1,1
349480136,365990,4.0,3.0,2199.0,6050.484,2024.0,SINGLE_FAMILY,29.506746,-95.76597,Rosenberg,77469,358400.0,2299.0,12,1,1
